titre;créateur;contributeur;sujet;description;editeur;Date ;Type ;format;identifiant;Source;langue;Relation;couverture;droits;Nom du fichier;url
Dédicace de Philippe Meirieu;Meirieu, Philippe (1949-…);;;Livre : Eduquer après les attentats, ESF, 2019;Librairie Les Volcans;14/09/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0003;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0003.jpg
Dédicace de Hubert Reeves;Reeves, Hubert (1932-…);;;Livre : L'Univers : créativité cosmique et artistique, avec Daniel Casanave, éd. Lombard 2016;Librairie Les Volcans;20/09/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0005;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0005.jpg
Dédicace de Douglas Kennedy;Kennedy, Douglas (1955-…);;;Livre : The Heat of Betrayal (Londres : Hutchinson, 2015) / The Blue Hour (New York : Atria Books, 2016). Traduit en français sous le titre Mirage (traduction de Bernard Cohen), Belfond, 2015;Librairie Les Volcans;13/10/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0007;Bibliothèque Université Clermont Auvergne;eng;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0007.jpg
Dédicace de Erik Orsenna;Orsenna, Erik (1947-…);;;Livre : L'origine de nos amours, Stock, 2016;Librairie Les Volcans;20/10/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0009;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0009.jpg
Dédicace de Abdennour Bidar;Bidar, Abdennour (1971-…);;;Livre : Quelles valeurs partager et transmettre aujourd'hui, Albin Michel, 2016;Librairie Les Volcans;29/10/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0010;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0010.jpg
Dédicace de Dago Jan?ar;Jan?ar, Dago (1948-…);;;Pour son œuvre;Librairie Les Volcans;03/11/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0011;Bibliothèque Université Clermont Auvergne;slv;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0011.jpg
Dédicace de Philippe Legrez;Legrez, Philippe (…-…);;;Remise du prix Médiation à Sabrina de Dinechin;Librairie Les Volcans;04/11/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0012;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0012.jpg
Dédicace de Sabrina de Dinechin;Dinechin, Sabrina de (…-…);;;;Librairie Les Volcans;04/11/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0013;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0013.jpg
Dédicace de Aki Kuroda;Kuroda, Aki (1944-…);;;Illustration du Livre de Shakespeare : Hamlet, Gallimard, 2016;Librairie Les Volcans;08/11/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0014;Bibliothèque Université Clermont Auvergne;jpn;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0014.jpg
Dédicace de Jane Birkin;Birkin, Jane (1946-,,,);;;Emission radio La Bouche à l'oreille;Librairie Les Volcans;10/12/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0015;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0015.jpg
Dédicace de Serge Joncour;Joncour, Serge (1961-…);;;Livre : Repose-toi sur moi, Flammarion, 2016;Librairie Les Volcans;14/12/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0017;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0017.jpg
Dédicace de Patrick Manoukian;Manoukian, Patrick (1949-…) alias Ian Manook;;;Livre : La mort nomade, Albin Michel, 2016;Librairie Les Volcans;17/12/2016;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0019;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0019.jpg
Dédicace de Christine Masson;Masson, Christine (…-…);;;Livre : Allez au cinéma ou faire l'amour, Textuel, 2016;Librairie Les Volcans;04/02/2017;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0021;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0021.jpg
Dédicace de Mathias Malzieu;Malzieu, Mathias (1974-…);;;Livre : Journal d'un vampire en pyjama, Albin Michel, 2016;Librairie Les Volcans;08/02/2017;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0023;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0023.jpg
Dédicace de Vincent Debaty et Camille Lopez;Debaty, Vincent (1981-…) et Lopez, Camille (1989-…);;;Signatures pour le Livre de Gervais Loock et Yves Meunier, Sorciers du bouclier, Revoir, 2017;Librairie Les Volcans;27/10/2017;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0025;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0025.jpg
Dédicace de Christian Bouchardy;Bouchardy, Christian (…-…);;;Livre : L'Auvergne, De Borée, 2017;Librairie Les Volcans;04/11/2017;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0027;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0027.jpg
Dédicace de Joy Sorman;Sorman, Joy (1973-…);;;Livre : Sciences de la vie, Seuil, 2017;Librairie Les Volcans;18/11/2017;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0028;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0028.jpg
Dédicace de Hervé Le Tellier;Le Tellier, Hervé (1957-…);;;Conférence en partenariat avec la Semaine de la poésie;Librairie Les Volcans;02/12/2017;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0029;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0029.jpg
Dédicace de Gérard Mordillat;Mordillat, Gérard (1949-,,,);;;Livre : La Tour abolie, Albin Michel, 2017;Librairie Les Volcans;09/12/2017;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0030;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0030.jpg
Dédicace de Lassaâd Metoui;Metoui, Lassaâd (1963-…);;;Démonstration de calligraphie;Librairie Les Volcans;16/12/2017;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0031;Bibliothèque Université Clermont Auvergne;ara;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0031.jpg
Dédicace de David Lopez;Lopez, David (1985-…);;;Livre : Fief, Seuil, 2017;Librairie Les Volcans;20/12/2017;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0033;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0033.jpg
Dédicace de Axel Kahn;Kahn, Axel (1944-,,,);;;Livre : Jean, un homme hors du temps, Stock, 2017;Librairie Les Volcans;29/03/2018;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0034;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0034.jpg
Dédicace de Guillaume Musso;Musso, Guillaume (1974-,,,);;;Livre : La Jeune fille et la Nuit;Librairie Les Volcans;06/06/2018;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0035;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0035.jpg
Dédicace de Bernard Pivot;Pivot, Bernard (1935-…);;;Livre : Lire! Avec Cécile Pivot;Librairie Les Volcans;14/06/2018;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0036;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0036.jpg
Dédicace de Cécile Pivot;Pivot, Cécile (,,,-,,,);;;Livre : Lire! Avec Bernard Pivot;Librairie Les Volcans;14/06/2018;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0037;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0037.jpg
Dédicace de François Hollande;Hollande, François (1954-,,,);;;Livre : Les Leçons du pouvoir, Stock, 2018;Librairie Les Volcans;20/06/2018;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0039;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0039.jpg
Dédicace de Christian Bobin;Bobin, Christian (1951-…);;;Livre : La Nuit du cœur, Gallimard, 2018;Librairie Les Volcans;11/12/2018;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0040;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0040.jpg
Dédicace de Patrick Scheyder;Scheyder, Patrick (…-…);;;Accompagnateur musical de M. Lonsdale;Librairie Les Volcans;13/12/2018;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0041;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0041.jpg
Dédicace de Michael Lonsdale;Lonsdale, Michael (1931-…);;;Livre : Jardins d'Orient et d'Occident, Bayard, 2018;Librairie Les Volcans;13/12/2018;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0042;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0042.jpg
Dédicace de Jean-Luc Petitrenaud;Petitrenaud, Jean-Luc (1950-…);;;Livre : Bienvenue chez moi, Flammarion, 2016;Librairie Les Volcans;22/12/2018;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0043;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0043.jpg
Dédicace de Marcel Rufo;Rufo, Marcel (1944-…);;;Livre : Qui commande ici? Parents d'enfants tyrans, Anne Carrière, 2018;Librairie Les Volcans;19/01/2019;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0044;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0044.jpg
Dédicace de Françoise Maeght;Maeght, Françoise dite Yoyo (1959-…);;;Livre : La Saga Maeght, Robert Laffont, 2014;Librairie Les Volcans;01/02/2019;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0045;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0045.jpg
Dédicace de Benjamin Lacombe;Lacombe, Benjamin (1982-,,,);;;Livre : Magicien d'Oz, Albin Michel jeunesse, 2018 (avec Sébastien Pérez);Librairie Les Volcans;09/02/2019;text;image/jpeg;BUCA_Librairie_les_Volcans_livre_d_or_2_0047;Bibliothèque Université Clermont Auvergne;fre;;;Domaine public;;http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_Volcans_livre_d_or_2_0047.jpg
