"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source 1";"Source 2";"langue";"Relation";"couverture";"droits";"url"
"Crocus cancellatus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Crocus_cancellatus_CLF125291";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Crocus_cancellatus_CLF125291.jpg"
"Crocus corsicus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Crocus_corsicus_CLF125292";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Crocus_corsicus_CLF125292.jpg"
"Crocus corsicus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Crocus_corsicus_CLF125293";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Crocus_corsicus_CLF125293.jpg"
"Crocus minimus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Crocus_minimus_CLF125294";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Crocus_minimus_CLF125294.jpg"
"Crocus nudiflorus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Crocus_nudiflorus_CLF125295";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Crocus_nudiflorus_CLF125295.jpg"
"Crocus salzmanii  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Crocus_salzmanii_CLF125296";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Crocus_salzmanii_CLF125296.jpg"
"Crocus serotinus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Crocus_serotinus_CLF125297";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Crocus_serotinus_CLF125297.jpg"
"Crocus albiflorus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Crocus_albiflorus_CLF125298";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Crocus_albiflorus_CLF125298.jpg"
"Crocus vernus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Crocus_vernus_CLF125299";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Crocus_vernus_CLF125299.jpg"
"Freesia corymbosa  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Freesia_corymbosa_CLF125300";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Freesia_corymbosa_CLF125300.jpg"
