"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Acanthus mollis  (Acanthacées)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Acanthacées_Acanthus_mollis_CLF114590";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Acanthacées_Acanthus_mollis_CLF114590.jpg"
"Acanthus hungaricus  (Acanthacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Acanthacees_Acanthus_hungaricus_CLF114589";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Acanthacees_Acanthus_hungaricus_CLF114589.jpg"
"Acanthus mollis  (Acanthacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Acanthacees_Acanthus_mollis_CLF114591";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Acanthacees_Acanthus_mollis_CLF114591.jpg"
"Acer campestre  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_campestre_CLF114593";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_campestre_CLF114593.jpg"
"Acer campestre  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_campestre_CLF114592";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_campestre_CLF114592.jpg"
"Acer campestre  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_campestre_CLF114595";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_campestre_CLF114595.jpg"
"Acer campestre  (Acescences)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Acescences_Acer_campestre_CLF114594";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Acescences_Acer_campestre_CLF114594.jpg"
"Acer glabrum  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_glabrum_CLF114597";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_glabrum_CLF114597.jpg"
"Acer glabrum  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_glabrum_CLF114596";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_glabrum_CLF114596.jpg"
"Acer granatense  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_granatense_CLF114599";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_granatense_CLF114599.jpg"
"Acer granatense  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_granatense_CLF114598";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_granatense_CLF114598.jpg"
"Acer japonicum  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_japonicum_CLF114601";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_japonicum_CLF114601.jpg"
"Acer japonicum  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_japonicum_CLF114600";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_japonicum_CLF114600.jpg"
"Acer monspessulanum  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_monspessulanum_CLF114603";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_monspessulanum_CLF114603.jpg"
"Acer monspessulanum  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_monspessulanum_CLF114602";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_monspessulanum_CLF114602.jpg"
"Acer monspessulanum  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_monspessulanum_CLF114605";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_monspessulanum_CLF114605.jpg"
"Acer negundo  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_negundo_CLF114604";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_negundo_CLF114604.jpg"
"Acer opalus  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_opalus_CLF114607";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_opalus_CLF114607.jpg"
"Acer negundo  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_negundo_CLF114606";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_negundo_CLF114606.jpg"
"Acer opalus  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_opalus_CLF114609";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_opalus_CLF114609.jpg"
"Acer opalus  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_opalus_CLF114608";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_opalus_CLF114608.jpg"
"Acer palmatum  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_palmatum_CLF114610";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_palmatum_CLF114610.jpg"
"Acer palmatum  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_palmatum_CLF114611";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_palmatum_CLF114611.jpg"
"Acer platanoides  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_platanoides_CLF114613";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_platanoides_CLF114613.jpg"
"Acer platanoides  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_platanoides_CLF114612";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_platanoides_CLF114612.jpg"
"Acer pseudoplatanus  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_pseudoplatanus_CLF114614";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_pseudoplatanus_CLF114614.jpg"
"Acer platanoides  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_platanoides_CLF114615";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_platanoides_CLF114615.jpg"
"Acer pseudoplatanus  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_pseudoplatanus_CLF114616";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_pseudoplatanus_CLF114616.jpg"
"Acer pseudoplatanus  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_pseudoplatanus_CLF114617";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_pseudoplatanus_CLF114617.jpg"
"Acer sempervirens  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_sempervirens_CLF114618";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_sempervirens_CLF114618.jpg"
