"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Adiantum capillus (Pteridaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Pteridaceae_Adiantum_capillus_CLF120040";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Pteridaceae_Adiantum_capillus_CLF120040.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Pteridaceae_Adiantum_capillus_CLF120040.jpg"
"Allosorus crispus (Polypodiaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Polypodiaceae_Allosorus_crispus_CLF120047";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Polypodiaceae_Allosorus_crispus_CLF120047.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Polypodiaceae_Allosorus_crispus_CLF120047.jpg"
"Asplenium aculeatum (Aspleniaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1996;"still image";"image/jpeg";"Aspleniaceae_Asplenium_aculeatum_CLF120078";"Bibliothèque Université Clermont auvergne";"fre";;"Alluy, bas du versant près du canal";"Domaine public";"Aspleniaceae_Asplenium_aculeatum_CLF120078.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aspleniaceae_Asplenium_aculeatum_CLF120078.jpg"
"Asplenium adiante-nigrum (Aspleniaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1930;"still image";"image/jpeg";"Aspleniaceae_Asplenium_adiante-nigrum_CLF120109";"Bibliothèque Université Clermont auvergne";"fre";;"Ternant, puits";"Domaine public";"Aspleniaceae_Asplenium_adiante-nigrum_CLF120109.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aspleniaceae_Asplenium_adiante-nigrum_CLF120109.jpg"
"Asplenium adiante-nigrum (Aspleniaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Aspleniaceae_Asplenium_adiante-nigrum_CLF120110";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Aspleniaceae_Asplenium_adiante-nigrum_CLF120110.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aspleniaceae_Asplenium_adiante-nigrum_CLF120110.jpg"
"Asplenium viride (Aspleniaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Aspleniaceae_Asplenium_viride_CLF120108";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Aspleniaceae_Asplenium_viride_CLF120108.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aspleniaceae_Asplenium_viride_CLF120108.jpg"
"Asplenium lanceolatum (Aspleniaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Aspleniaceae_Asplenium_lanceolatum_CLF120111";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Aspleniaceae_Asplenium_lanceolatum_CLF120111.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aspleniaceae_Asplenium_lanceolatum_CLF120111.jpg"
"Asplenium fontanum (Aspleniaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Aspleniaceae_Asplenium_fontanum_CLF120112";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Aspleniaceae_Asplenium_fontanum_CLF120112.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aspleniaceae_Asplenium_fontanum_CLF120112.jpg"
"Asplenium marinum (Aspleniaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Aspleniaceae_Asplenium_marinum_CLF120113";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Aspleniaceae_Asplenium_marinum_CLF120113.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aspleniaceae_Asplenium_marinum_CLF120113.jpg"
"Asplenium septentrionale (Aspleniaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1996;"still image";"image/jpeg";"Aspleniaceae_Asplenium_septentrionale_CLF120117";"Bibliothèque Université Clermont auvergne";"fre";;"Alluy, bas du versant près du canal";"Domaine public";"Aspleniaceae_Asplenium_septentrionale_CLF120117.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aspleniaceae_Asplenium_septentrionale_CLF120117.jpg"
"Athyrium distentifolium (Woodsiaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Woodsiaceae_Athyrium_distentifolium_CLF120118";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Woodsiaceae_Athyrium_distentifolium_CLF120118.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Woodsiaceae_Athyrium_distentifolium_CLF120118.jpg"
"Athyrium felix femina (Woodsiaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Woodsiaceae_Athyrium_felix_femina_CLF120119";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Woodsiaceae_Athyrium_felix_femina_CLF120119.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Woodsiaceae_Athyrium_felix_femina_CLF120119.jpg"
"Azolla filiculoides (Azollaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Azollaceae_Azolla_filiculoides_CLF120067";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Azollaceae_Azolla_filiculoides_CLF120067.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Azollaceae_Azolla_filiculoides_CLF120067.jpg"
"Blechnum spicant (Blechnaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1930;"still image";"image/jpeg";"Blechnaceae_Blechnum_spicant_CLF120051";"Bibliothèque Université Clermont auvergne";"fre";;"Ternant";"Domaine public";"Blechnaceae_Blechnum_spicant_CLF120051.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Blechnaceae_Blechnum_spicant_CLF120051.jpg"
"Blechnum spicant (Blechnaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1930;"still image";"image/jpeg";"Blechnaceae_Blechnum_spicant_CLF120052";"Bibliothèque Université Clermont auvergne";"fre";;"Ternant";"Domaine public";"Blechnaceae_Blechnum_spicant_CLF120052.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Blechnaceae_Blechnum_spicant_CLF120052.jpg"
"Botrychuim lunaria (Ophioglossaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Ophioglossaceae_Botrychuim_lunaria_CLF120062";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Ophioglossaceae_Botrychuim_lunaria_CLF120062.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Ophioglossaceae_Botrychuim_lunaria_CLF120062.jpg"
"Ceterach officinarum (Aspleniaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Aspleniaceae_Ceterach_officinarum_CLF120105";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Aspleniaceae_Ceterach_officinarum_CLF120105.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aspleniaceae_Ceterach_officinarum_CLF120105.jpg"
"Cystopteris fragilis (Woodsiaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Woodsiaceae_Cystopteris_fragilis_CLF120115";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Woodsiaceae_Cystopteris_fragilis_CLF120115.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Woodsiaceae_Cystopteris_fragilis_CLF120115.jpg"
"Dryopteris carthusiana (Dryopteridaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1998;"still image";"image/jpeg";"Dryopteridaceae_Dryopteris_carthusiana_CLF120088";"Bibliothèque Université Clermont auvergne";"fre";;"Fourchambault";"Domaine public";"Dryopteridaceae_Dryopteris_carthusiana_CLF120088.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Dryopteridaceae_Dryopteris_carthusiana_CLF120088.jpg"
"Dryopteris carthusiana (Dryopteridaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1998;"still image";"image/jpeg";"Dryopteridaceae_Dryopteris_carthusiana_CLF120089";"Bibliothèque Université Clermont auvergne";"fre";;"Fourchambault";"Domaine public";"Dryopteridaceae_Dryopteris_carthusiana_CLF120089.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Dryopteridaceae_Dryopteris_carthusiana_CLF120089.jpg"
