"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Livre d'or de la Librairie des Volcans, SCOP";"Livre d'or de la Librairie des Volcans, SCOP";;;0;"Librairie Les Volcans";0;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";0;;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Meirieu, Philippe (1949-…)";"Meirieu, Philippe (1949-…)";;;"Livre : Eduquer après les attentats, ESF, 2019";"Librairie Les Volcans";42627;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Reeves, Hubert (1932-…)";"Reeves, Hubert (1932-…)";;;"Livre : L'Univers : créativité cosmique et artistique, avec Daniel Casanave, éd. Lombard 2016";"Librairie Les Volcans";42633;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Kennedy, Douglas (1955-…)";"Kennedy, Douglas (1955-…)";;;"Livre : The Heat of Betrayal (Londres : Hutchinson, 2015) / The Blue Hour (New York : Atria Books, 2016). Traduit en français sous le titre Mirage (traduction de Bernard Cohen), Belfond, 2015";"Librairie Les Volcans";42656;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"eng";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Orsenna, Erik (1947-…)";"Orsenna, Erik (1947-…)";;;"Livre : L'origine de nos amours, Stock, 2016";"Librairie Les Volcans";42663;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Bidar, Abdennour (1971-…)";"Bidar, Abdennour (1971-…)";;;"Livre : Quelles valeurs partager et transmettre aujourd'hui, Albin Michel, 2016";"Librairie Les Volcans";42672;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Jančar, Dago (1948-…)";"Jančar, Dago (1948-…)";;;"Pour son œuvre";"Librairie Les Volcans";42677;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"slv";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Legrez, Philippe (…-…)";"Legrez, Philippe (…-…)";;;"Remise du prix Médiation à Sabrina de Dinechin";"Librairie Les Volcans";42678;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Dinechin, Sabrina de (…-…)";"Dinechin, Sabrina de (…-…)";;;0;"Librairie Les Volcans";42678;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Kuroda, Aki (1944-…)";"Kuroda, Aki (1944-…)";;;"Illustration du Livre de Shakespeare : Hamlet, Gallimard, 2016";"Librairie Les Volcans";42682;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"jpn";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
