"TITRE1";"TITRE2";"CREATEUR1";"CREATEUR2";"EDITEUR";"DATE";"TYPE";"FORMAT";"FORMAT2";"FORMAT3";"LANGUE";"DROITS";"DESCRIPTION";"SOURCE1";"SOURCE2";"IDENTIFIANT";"URL"
"[Deutschlands Flora als Beleg für die Flora Germanica Excursoria und zur Aufnahme und Verbreitung der neuesten Entdeckungen innerhalb Deutschlands und der angrenzenden Länder]";"[Bd. 22, Leguminosae]";"[Reichenbach, Heinrich Gottlieb Ludwig (1793-1879)]";"[Reichenbach, Heinrich Gustav (1824-1889)]";"[Abel (Leipzig)]";"[1868]";"text";"application/pdf";"88 p. - [219] feuilles de planches";"28 cm";"deu";"Domaine public";"Herbier Schlumberger. Pas de page de titre";"Herbiers universitaires de Clermont-Ferrand";"Bibliothèque Université Clermont Auvergne";"BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_22";"http://192.168.129.239/files/fichiers_bcu/BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_22.pdf"
"Deutschlands Flora als Beleg für die Flora Germanica Excursoria und zur Aufnahme und Verbreitung der neuesten Entdeckungen innerhalb Deutschlands und der angrenzenden Länder";"Bd. 21, Die Umbelliferen der mitteleuropaischen Flora";"Reichenbach, Heinrich Gottlieb Ludwig (1793-1879)";"Reichenbach, Heinrich Gustav (1824-1889)";"Abel (Leipzig)";1867;"text";"application/pdf";"136 p. - [210] feuilles de planches";"28 cm";"deu";"Domaine public";"Herbier Schlumberger";"Herbiers universitaires de Clermont-Ferrand";"Bibliothèque Université Clermont Auvergne";"BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_21";"http://192.168.129.239/files/fichiers_bcu/BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_21.pdf"
"Deutschlands Flora als Beleg für die Flora Germanica Excursoria und zur Aufnahme und Verbreitung der neuesten Entdeckungen innerhalb Deutschlands und der angrenzenden Länder";"Bd. 20, Die Solanaceen, Personaten, Orobancheen, Acanthaceen, Globulariaceen, Lentibularieen der mitteleuropaischen Flora";"Reichenbach, Heinrich Gottlieb Ludwig (1793-1879)";"Reichenbach, Heinrich Gustav (1824-1889)";"Abel (Leipzig)";1862;"text";"application/pdf";"162 p. - [220] feuilles de planches";"28 cm";"deu";"Domaine public";"Herbier Schlumberger";"Herbiers universitaires de Clermont-Ferrand";"Bibliothèque Université Clermont Auvergne";"BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_20";"http://192.168.129.239/files/fichiers_bcu/BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_20.pdf"
"Deutschlands Flora als Beleg für die Flora Germanica Excursoria und zur Aufnahme und Verbreitung der neuesten Entdeckungen innerhalb Deutschlands und der angrenzenden Länder";"Bd. 19, Die Cichoriaceen, Ambrosiaceen, Campanulaceen, Lobeliaceen dazu die Cucurbitaceen ";"Reichenbach, Heinrich Gottlieb Ludwig (1793-1879)";"Reichenbach, Heinrich Gustav (1824-1889)";"Abel (Leipzig)";1860;"text";"application/pdf";"158 p. - [260] feuilles de planches";"28 cm";"deu";"Domaine public";"Herbier Schlumberger";"Herbiers universitaires de Clermont-Ferrand";"Bibliothèque Université Clermont Auvergne";"BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_19";"http://192.168.129.239/files/fichiers_bcu/BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_19.pdf"
"Deutschlands Flora als Beleg für die Flora Germanica Excursoria und zur Aufnahme und Verbreitung der neuesten Entdeckungen innerhalb Deutschlands und der angrenzenden Länder";"Bd. 18, [Die Labiaten, Verbenaceen, Heliotropeen, Borragineen, Convolvulaceen sowie die früher unter die Thalmifloren übergegangenen Polygalaceen]";"Reichenbach, Heinrich Gottlieb Ludwig (1793-1879)";"Reichenbach, Heinrich Gustav (1824-1889)";"Abel (Leipzig)";1858;"text";"application/pdf";"122 p. - [150] feuilles de planches";"28 cm";"deu";"Domaine public";"Herbier Schlumberger";"Herbiers universitaires de Clermont-Ferrand";"Bibliothèque Université Clermont Auvergne";"BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_18";"http://192.168.129.239/files/fichiers_bcu/BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_18.pdf"
"Deutschlands Flora als Beleg für die Flora Germanica Excursoria und zur Aufnahme und Verbreitung der neuesten Entdeckungen innerhalb Deutschlands und der angrenzenden Länder";"Bd. 17, [Die Gentianaceen, Apocynaceen, Asclepiadeen, Oleaceen, Styracaeen, Ebenaceen, Aquifoliaceen, Primulaceen, Plumbagineen, Bicornes, Caprifoliaceen, Rubiaceen der deutschen Flora]";"Reichenbach, Heinrich Gottlieb Ludwig (1793-1879)";"Reichenbach, Heinrich Gustav (1824-1889)";"Abel (Leipzig)";1855;"text";"application/pdf";"128 p. - [160] feuilles de planches";"28 cm";"deu";"Domaine public";"Herbier Schlumberger";"Herbiers universitaires de Clermont-Ferrand";"Bibliothèque Université Clermont Auvergne";"BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_17";"http://192.168.129.239/files/fichiers_bcu/BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_17.pdf"
"Deutschlands Flora als Beleg für die Flora Germanica Excursoria und zur Aufnahme und Verbreitung der neuesten Entdeckungen innerhalb Deutschlands und der angrenzenden Länder";"Bd. 16, [Die Corymbiferen der deutschen Flora]";"Reichenbach, Heinrich Gottlieb Ludwig (1793-1879)";"Reichenbach, Heinrich Gustav (1824-1889)";"Abel (Leipzig)";1854;"text";"application/pdf";"97 p. - [150] feuilles de planches";"28 cm";"deu";"Domaine public";"Herbier Schlumberger";"Herbiers universitaires de Clermont-Ferrand";"Bibliothèque Université Clermont Auvergne";"BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_16";"http://192.168.129.239/files/fichiers_bcu/BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_16.pdf"
"Deutschlands Flora als Beleg für die Flora Germanica Excursoria und zur Aufnahme und Verbreitung der neuesten Entdeckungen innerhalb Deutschlands und der angrenzenden Länder";"[Bd. 15], Die Cynarocephalen und Calendulaceen der deutschen Flora";"Reichenbach, Heinrich Gottlieb Ludwig (1793-1879)";"Reichenbach, Heinrich Gustav (1824-1889)";"Abel (Leipzig)";1853;"text";"application/pdf";"122 p. - [160] feuilles de planches";"28 cm";"deu";"Domaine public";"Herbier Schlumberger. La tranche de l’ouvrage porte l’indication ""Vol. 18.2""";"Herbiers universitaires de Clermont-Ferrand";"Bibliothèque Université Clermont Auvergne";"BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_15";"http://192.168.129.239/files/fichiers_bcu/BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_15.pdf"
"Deutschlands Flora als Beleg für die Flora Germanica Excursoria und zur Aufnahme und Verbreitung der neuesten Entdeckungen innerhalb Deutschlands und der angrenzenden Länder";"Bd. 13, Die Orchideen der deutschen Flora nebst denen des übrigen Europa, des ganzen russischen Reichs und Algiers : also ein Versuch einer Orchideographie Europas";"Reichenbach, Heinrich Gottlieb Ludwig (1793-1879)";"Reichenbach, Heinrich Gustav (1824-1889)";"Friedrich Hofmeister (Leipzig)";1851;"text";"application/pdf";"XII-240 p. - [170] feuilles de planches";"28 cm";"deu";"Domaine public";"Herbier Schlumberger";"Herbiers universitaires de Clermont-Ferrand";"Bibliothèque Université Clermont Auvergne";"BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_13";"http://192.168.129.239/files/fichiers_bcu/BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_13.pdf"
"Deutschlands Flora : mit höchst naturgetreuen, charakteristischen Abbildungen aller ihrer Pflanzen-Arten in natürlicher Grösse und mit Analysen auf Kupfertafeln als Beleg für die Flora Germanica Excursoria : und zur Aufnahme und Verbreitung der neuesten Entdeckungen innerhalb Deutschlands und der angrenzenden Länder ";"[Bd. 11], Familie der Kätzchenblüthler: Birken- und Eichengruppe, dann Nesseln, Osterluzeigewächse, Lorbeeren und Dipsaceen, nebst den Baldriangewächsen. Amentaceae : Betulineae et Cupuliferae, tunc Urticaceae, Aristolochiaceae, Laurineae et Dipsaceae cum Valerianeis";"Reichenbach, Heinrich Gottlieb Ludwig (1793-1879)";;"Friedrich Hofmeister (Leipzig)";"1849-1850";"text";"application/pdf";"40 p. - [110] feuilles de planches";"28 cm";"deu";"Domaine public";"Herbier Schlumberger. La tranche de l’ouvrage porte l’indication ""Vol. 7""";"Herbiers universitaires de Clermont-Ferrand";"Bibliothèque Université Clermont Auvergne";"BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_11";"http://192.168.129.239/files/fichiers_bcu/BCU_Deutschlands_Flora_als_Beleg_fur_die_Flora_Germanicat_11.pdf"
