"IDENTIFIANT";"TITRE";"EDITEUR";"DATE ";"DESCRIPTION";"CREATEUR";"LANGUE";"TYPE";"FORMAT 1";"Droits";"SOURCE";"URL"
"BCU_Bastaire_Stella_116_C92608_1110117";"L'ennemie";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 116";"Fid Jean";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_116_C92608_1110117.pdf"
"BCU_Bastaire_Stella_117_C92609_1110118";"Le finale de la symphonie";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 117";"Tinseau Léon de";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_117_C92609_1110118.pdf"
"BCU_Bastaire_Stella_118_C92610_1110121";"Le hibou des ruines";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 118";"Vertiol Andrée";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_118_C92610_1110121.pdf"
"BCU_Bastaire_Stella_120_C92611_1110349";"Mort ou vivant ?...";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 120 ";"Bouvet Marie-Louise";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_120_C92611_1110349.pdf"
"BCU_Bastaire_Stella_121_C92612_1110351";"Femme de lettres";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 121 ";"Floran Mary";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_121_ C92612_1110351.pdf"
"BCU_Bastaire_Stella_122_C92613_1110365";"Le droit d'aimer";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 122";"Trilby T.";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_122_C92613_1110365.pdf"
"BCU_Bastaire_Stella_126_C92614_1110372";"La victoire d'Arlette";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 126 ";"Heuzey Juliette";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_126_C92614_1110372.pdf"
"BCU_Bastaire_Stella_129_C92615_1110375";"Le cadet";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 129";"Humilly de Chevilly Marie d'";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stélla_129_C92615_1110375.pdf"
"BCU_Bastaire_Stella_130_C92616_1110380";"Irène";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 130";"Bergy Emile";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_130_C92616_1110380.pdf"
"BCU_Bastaire_Stella_132_C92617_1110385";"La mission de Marie-Ange";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 132 ";"Dubarry André";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_132_C92617_1110385.pdf"
"BCU_Bastaire_Stella_133_C92619_1110425";"L'ombre du passé";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 133 ";"Bouvet Marie-Louise";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_133_C92619_1110425.pdf"
"BCU_Bastaire_Stella_134_C92621_1110430";"Le mariage de Rose Duprey";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 134 ";"Arvor Gabrielle d'";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_134_C92621_1110430.pdf"
"BCU_Bastaire_Stella_136_C92622_1110431";"Petite Belle";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 136 ";"Fleuriot Zénaïde";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_136_C92622_1110431.pdf"
"BCU_Bastaire_Stella_137_C92623_1110438";"Le coeur chemine";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 137 ";"Loubens de Verdalle Clotilde de";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_137_C92623_1110438.pdf"
"BCU_Bastaire_Stella_138_C92624_1110442";"A grande vitesse";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 138 ";"Bouvet Marie-Louise";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_138_C92624_1110442.pdf"
"BCU_Bastaire_Stella_139_C92625_1110449";"Le secret de la forêt";"Editions du ""Petit Echo de la Mode""";1925;"Collection Stella ; 139 ";"Kerlecq Jean de";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_139_C92625_1110449.pdf"
"BCU_Bastaire_Stella_141_C92626_1110457";"Le logis";"Editions du ""Petit Echo de la Mode""";1926;"Collection Stella ; 141 ";"Lys Georges de";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_141_C92626_1110457.pdf"
"BCU_Bastaire_Stella_142_C92627_1110462";"Bonheur méconnu";"Editions du ""Petit Echo de la Mode""";1926;"Collection Stella ; 142";"Floran Mary";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_142_C92627_1110462.pdf"
"BCU_Bastaire_Stella_143_C92628_1110470";"Un héritage";"Editions du ""Petit Echo de la Mode""";1926;"Collection Stella ; 143 ";"Monthéas Jean de";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_143_C92628_1110470.pdf"
"BCU_Bastaire_Stella_144_C92630_1110473";"La roue du moulin";"Editions du ""Petit Echo de la Mode""";1926;"Collection Stella ; 144 ";"Trilby T.";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_144_C92630_1110473.pdf"
"BCU_Bastaire_Stella_145_C92632_1110476";"Pour sauver Denise !";"Editions du ""Petit Echo de la Mode""";1926;"Collection Stella ; 145 ";"Dreyer Antony";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_145_C92632_1110476.pdf"
"BCU_Bastaire_Stella_149_C92633_1110478";"Coeur d'or";"Editions du ""Petit Echo de la Mode""";1926;"Collection Stella ; 149 ";"Wailly Marie de";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_149_C92633_1110478.pdf"
"BCU_Bastaire_Stella_152_C92634_1110479";"Le coeur de Ludivine";"Editions du ""Petit Echo de la Mode""";1926;"Collection Stella ; 152 ";"Fid Jean";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_152_C92634_1110479.pdf"
"BCU_Bastaire_Stella_158_C92635_1110482";"L'idée de Suzie";"Editions du ""Petit Echo de la Mode""";1926;"Collection Stella ; 158 ";"Bouvet Marie-Louise";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_158_C92635_1110482.pdf"
"BCU_Bastaire_Stella_159_C92636_1110484";"Fidèle à son rêve";"Editions du ""Petit Echo de la Mode""";1926;"Collection Stella ; 159 ";"Floran Mary";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_159_C92636_1110484.pdf"
