"TITN";"EDITEUR";"DATE DE PUBLICATION";"TITRE";"SOUS-TITRE";"COLLECTION";"NUMÉRO";"NOM AUTEUR";"PRENOM AUTEUR";"LANGUE";;"AUTEUR1";"AUTEUR2";"DATE";"PAGES";"HAUTEUR";"COLLECTION";"Type";"Langue";"Format";"Droits";"IDENTIFIANT";"SOURCE";"URL"
"(OCoLC)689499979;sib0389330; 1109513";"Editions du ""Petit Echo de la Mode""";"1919 ?";"Pour lui !";"roman adapté de l'anglais";"Collection Stella";2;"Pujo";"Alice";"fre";"text";"Pujo, Alice (1869-1953) ";;"[1919?] ";"224 p.";"18 cm";"Collection Stella ; 2 ";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_2_C92529_1109513";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_2_C92529_1109513.pdf"
"(OCoLC)690550768; 1109517";"Editions du ""Petit Echo de la Mode""";1919;"Les espérances";;"Collection Stella";4;"Alanic";"Mathilde";"fre";"text";"Alanic, Mathilde (1864-1948) ";;"impr. 1919 ";"192 p.";"18 cm";"Collection Stella ; 4 ";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_4_C92530_1109517";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_4_C92530_1109517.pdf"
"(OCoLC)689853739;sib1494758; 1109519";"Editions du ""Petit Echo de la Mode""";1919;"Madame Victoire";;"Collection Stella";6;"Bouvet";"Marie-Louise";"fre";"text";"Bouvet, Marie-Louise (1869-1954) ";;"impr. 1919 ";"190 p. ";"18 cm";"Collection Stella ; 6";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_6_C92531_1109519";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_6_C92531_1109519.pdf"
"(OCoLC)690346845; 1109535";"Editions du ""Petit Echo de la Mode""";1919;"Tante Gertrude";;"Collection Stella";7;"Neulliès";"Berthe";"fre";"text";"Neulliès, Berthe (18..-19..) ";;"impr. 1919 ";"160 p. ";"18 cm";"Collection Stella ; 7";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_7_C92534_1109535";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_7_C92534_1109535.pdf"
"(OCoLC)689499863;sib0389274; 1109540";"Editions du ""Petit Echo de la Mode""";"1920 ?";"Comme une épave";;"Collection Stella";8;"Perrault";"Pierre";"fre";"text";"Perrault, Pierre (1842-1929) ";;"[1920?] ";"191 p.";"18 cm";"Collection Stella ; 8";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_8_C92535_1109540";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_8_C92535_1109540.pdf"
"(OCoLC)689507093;sib0391182; 1109549";"Editions du ""Petit Echo de la Mode""";1920;"Riche ou aimée ?";;"Collection Stella";9;"Floran";"Mary";"fre";"text";"Floran, Mary (1856-1934) ";;"[1920] ";"190 p. ";"18 cm";"Collection Stella ; 9";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_9_C92536_1109549";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_9_C92536_1109549.pdf"
"(OCoLC)690348231; 1109552";"Editions du ""Petit Echo de la Mode""";"1920 ?";"Cyranette";;"Collection Stella";11;"Sevestre";"Norbert";"fre";"text";"Sevestre, Norbert (1879-1946) ";;"[1920?] ";"192 p.";"18 cm";"Collection Stella ; 11";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_11_C92538_1109552";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_11_C92538_1109552.pdf"
"(OCoLC)690348431; 1109560";"Editions du ""Petit Echo de la Mode""";"1920 ?";"Intruse";;"Collection Stella";13;"Humilly de Chevilly";"Marie d'";"fre";"text";"Humilly de Chevilly, Marie d' (18..-19..) ";;"[1920?] ";"160 p. ";"18 cm";"Collection Stella ; 13";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_13_C92539_1109560";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_13_C92539_1109560.pdf"
"(OCoLC)689507100;sib0391186; 1109565";"Editions du ""Petit Echo de la Mode""";"1920 ?";"La maison des troubadours";;"Collection Stella";14;"Vertiol";"Andrée";"fre";"text";"Vertiol, Andrée ";;"[1920?] ";"160 p. ";"18 cm";"Collection Stella ; 14";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_14_C92540_1109565";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_14_C92540_1109565.pdf"
"(OCoLC)690349072; 1109569";"Editions du ""Petit Echo de la Mode""";"1920 ?";"A travers les seigles";;"Collection Stella";17;"Mathers";"Hélène";"fre";"text";"Mathers, Helen (1853-1920) ";;"[1920?] ";"224 p. ";"18 cm";"Collection Stella ; 17";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_17_C92541_1109569";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_17_C92541_1109569.pdf"
