"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Nuphar lutea (Nymphaeaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"20 6 1898|1898";"still image";"image/jpeg";"Nuphar_lutea_CLF094514";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Nuphar_lutea_CLF094514.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Nuphar_lutea_CLF094514.jpg"
"Sedum acre (Crassulaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"16 6 1897|1897";"still image";"image/jpeg";"Sedum_acre_CLF094515";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Sedum_acre_CLF094515.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Sedum_acre_CLF094515.jpg"
"Herniaria glabra (Illecebraceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"17 6 1899|1899";"still image";"image/jpeg";"Herniaria_glabra_CLF094516";"Bibliothèque Université Clermont Auvergne";"fre";;"Acy-Romance, Ardennes, France";"Domaine public";"Herniaria_glabra_CLF094516.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Herniaria_glabra_CLF094516.jpg"
"Bryonia dioica (Cucurbitaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"16 6 1897|1897";"still image";"image/jpeg";"Bryonia_dioica_CLF094517";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Bryonia_dioica_CLF094517.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Bryonia_dioica_CLF094517.jpg"
"Epilobium montanum (Onagraceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 8 1897|1897";"still image";"image/jpeg";"Epilobium_montanum_CLF094518";"Bibliothèque Université Clermont Auvergne";"fre";;"Chooz, Ardennes, France";"Domaine public";"Epilobium_montanum_CLF094518.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Epilobium_montanum_CLF094518.jpg"
"Epilobium parviflorum (Onagraceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 7 1899|1899";"still image";"image/jpeg";"Epilobium_parviflorum_CLF094519";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Epilobium_parviflorum_CLF094519.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Epilobium_parviflorum_CLF094519.jpg"
"Epilobium hirsutum (Onagraceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 7 1899|1899";"still image";"image/jpeg";"Epilobium_hirsutum_CLF094520";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Epilobium_hirsutum_CLF094520.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Epilobium_hirsutum_CLF094520.jpg"
"Epilobium hirsutum (Onagraceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"12 7 1897|1897";"still image";"image/jpeg";"Epilobium_hirsutum_CLF094521";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Epilobium_hirsutum_CLF094521.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Epilobium_hirsutum_CLF094521.jpg"
"Luzula campestris (Juncaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 6 1897|1897";"still image";"image/jpeg";"Luzula_campestris_CLF094522";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Luzula_campestris_CLF094522.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Luzula_campestris_CLF094522.jpg"
"Juncus bufonius (Juncaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"13 6 1897|1897";"still image";"image/jpeg";"Juncus_bufonius_CLF094523";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Juncus_bufonius_CLF094523.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Juncus_bufonius_CLF094523.jpg"
