"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"preparation identifiant";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Préparation url "
"Hen aquifolium  (Oléacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"5 juin 1876";"still image";"image/jpeg";"Oléacées_Hen_aquifolium_MAB02709";"Oleacees_Hen_aquifolium_MAB02709";"Bibliothèque Université Clermont Auvergne";"fre";;"Moladier";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Oleacees_Hen_aquifolium_MAB02709.jpg"
"Ligustrum vulgare  (Oléacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"28 mai ?";"still image";"image/jpeg";"Oléacées_Ligustrum_vulgare_MAB02705";"Oleacees_Ligustrum_vulgare_MAB02705";"Bibliothèque Université Clermont Auvergne";"fre";;"Avermes";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Oleacees_Ligustrum_vulgare_MAB02705.jpg"
"Ligustrum vulgare  (Oléacées)";"Migout";"Bourgougnon";;;"Herbiers universitaires de Clermont-Ferrand";"14 juin 1877";"still image";"image/jpeg";"Oléacées_Ligustrum_vulgare_MAB02706";"Oleacees_Ligustrum_vulgare_MAB02706";"Bibliothèque Université Clermont Auvergne";"fre";;"Loriges";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Oleacees_Ligustrum_vulgare_MAB02706.jpg"
"Ligustrum vulgare  (Oléacées)";"Migout";"Herbier.P.Billiet";;;"Herbiers universitaires de Clermont-Ferrand";"7 juin 1870";"still image";"image/jpeg";"Oléacées_Ligustrum_vulgare_MAB02707";"Oleacees_Ligustrum_vulgare_MAB02707";"Bibliothèque Université Clermont Auvergne";"fre";;"Gannat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Oleacees_Ligustrum_vulgare_MAB02707.jpg"
"Fraxinus excelsior  (Oléacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1874;"still image";"image/jpeg";"Oléacées_Fraxinus_excelsior_MAB02708";"Oleacees_Fraxinus_excelsior_MAB02708";"Bibliothèque Université Clermont Auvergne";"fre";;"Moulins";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Oleacees_Fraxinus_excelsior_MAB02708.jpg"
"Vinca major  (Apocynées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"juillet 1873";"still image";"image/jpeg";"Apocynées_Vinca_major_MAB02701";"Apocynees_Vinca_major_MAB02701";"Bibliothèque Université Clermont Auvergne";"fre";;"Yzeure";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Apocynees_Vinca_major_MAB02701.jpg"
"Vinca major  (Apocynées)";"Migout";"Herbier.P.Billiet";;;"Herbiers universitaires de Clermont-Ferrand";"5 juin 1869";"still image";"image/jpeg";"Apocynées_Vinca_major_MAB02702";"Apocynees_Vinca_major_MAB02702";"Bibliothèque Université Clermont Auvergne";"fre";;"Gannat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Apocynees_Vinca_major_MAB02702.jpg"
"Vinca minor  (Apocynées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Apocynées_Vinca_minor_MAB02703";"Apocynees_Vinca_minor_MAB02703";"Bibliothèque Université Clermont Auvergne";"fre";;"Vallière près Moulins";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Apocynees_Vinca_minor_MAB02703.jpg"
"Vinca minor  (Apocynées)";"Migout";"Herbier.P.Billiet";;;"Herbiers universitaires de Clermont-Ferrand";"5 juin 1869 ou 8 juin";"still image";"image/jpeg";"Apocynées_Vinca_minor_MAB02704";"Apocynees_Vinca_minor_MAB02704";"Bibliothèque Université Clermont Auvergne";"fre";;"Gannat ou Cuissat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Apocynees_Vinca_minor_MAB02704.jpg"
"Lysimachia nemorum  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Primulacées_Lysimachia_nemorum_MAB02710";"Primulacees_Lysimachia_nemorum_MAB02710";"Bibliothèque Université Clermont Auvergne";"fre";;0;"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nemorum_MAB02710.jpg"
"Lysimachia nemorum  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1873;"still image";"image/jpeg";"Primulacées_Lysimachia_nemorum_MAB02711";"Primulacees_Lysimachia_nemorum_MAB02711";"Bibliothèque Université Clermont Auvergne";"fre";;"Laprugne";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nemorum_MAB02711.jpg"
"Lysimachia nemorum  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"8 août 1879";"still image";"image/jpeg";"Primulacées_Lysimachia_nemorum_MAB02712";"Primulacees_Lysimachia_nemorum_MAB02712";"Bibliothèque Université Clermont Auvergne";"fre";;"Echassières";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nemorum_MAB02712.jpg"
"Lysimachia nemorum  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"juin 1872";"still image";"image/jpeg";"Primulacées_Lysimachia_nemorum_MAB02713";"Primulacees_Lysimachia_nemorum_MAB02713";"Bibliothèque Université Clermont Auvergne";"fre";;"Chavenon";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nemorum_MAB02713.jpg"
"Lysimachia nemorum  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"août 1875";"still image";"image/jpeg";"Primulacées_Lysimachia_nemorum_MAB02714";"Primulacees_Lysimachia_nemorum_MAB02714";"Bibliothèque Université Clermont Auvergne";"fre";;"Montoncelle";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nemorum_MAB02714.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02715";"Primulacees_Anagallis_tenella_MAB02715";"Bibliothèque Université Clermont Auvergne";"fre";;"Lusigny, étang de Chevray, route de Bourgogne";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02715.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"8 août 1879";"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02716";"Primulacees_Anagallis_tenella_MAB02716";"Bibliothèque Université Clermont Auvergne";"fre";;"Echassières";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02716.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"8 août 1879";"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02717";"Primulacees_Anagallis_tenella_MAB02717";"Bibliothèque Université Clermont Auvergne";"fre";;"Echassières";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02717.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1877;"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02718";"Primulacees_Anagallis_tenella_MAB02718";"Bibliothèque Université Clermont Auvergne";"fre";;"Murat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02718.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1875;"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02719";"Primulacees_Anagallis_tenella_MAB02719";"Bibliothèque Université Clermont Auvergne";"fre";;"Monétay aux prés des morrats";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02719.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02720";"Primulacees_Anagallis_tenella_MAB02720";"Bibliothèque Université Clermont Auvergne";"fre";;0;"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02720.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"17 juin 1874";"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02721";"Primulacees_Anagallis_tenella_MAB02721";"Bibliothèque Université Clermont Auvergne";"fre";;"Bessay";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02721.jpg"
