"Titre";"Créateur";"Sujet";"Description";"Editeur";"Contributeur";"Date";"Type";"Format";"Identifiant";"Source";"Langue";"Relation";"Couverture";"Droit";"url"
"[Factum. Pailler, Pierre. 1777]";"Grenier, aîné |Chabrol |Ducrohet |Cathol |Grangier |Pradier |Fressanges |Gaschon |Longpré |Jaffeux |Tachard |Grenier, jeune";"volonté du testateur |testaments |droit écrit |créances |testaments |successions |";"Consultation pour Pierre Pailler, contre Raimond Durand.";"de l'imprimerie de Martin Dégoutte (Riom)";;"1777|1757-1777|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|8 p.";"BCU_Factums_B0101";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Baron-Grenier";"fre";"BCU_Factums_B0102||||||";"Espinasse (63152) |Chaudes-Aigues (15045)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_B0101.pdf"
"[Factum. Durand, Raymond. 1777?]";"Albaret";"volonté du testateur |testaments |droit écrit |créances |testaments |successions |doctrine |jurisprudence |Parlement de Paris |";"Le conseil soussigné, qui a pris lecture d'une copie de la consultation délibérée le 12 mai 1777, par douze avocats du présidial de Riom, et du mémoire imprimé pour Raymond Durand, contre Pierre Pailler : …|note manuscrite « Jugé conforme à la consultation de M. Albaret en 1778 au rapport de M. Prozet. »";"de l'imprimerie de P. Viallanes (Clermont-Ferrand)";;"Circa 1777|1757-1777|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|8 p.";"BCU_Factums_B0102";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Baron-Grenier";"fre";"BCU_Factums_B0101||||||";"Espinasse (63152) |Chaudes-Aigues (15045)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_B0102.pdf"
"[Factum. Planche, Antoine. 1778]";"Archon de la Roche |Grenier |Pagès";"confréries |fabriques |marguilliers |abus d'autorité |terriers |vin |fêtes |ordre public |rénovations d'églises |opposition bas clergé noblesse |prêtres |fraudes |bail à ferme |détournements d'aumône|sonnerie de cloches |orages |quittances |obligations de messes |charité |bienfaisance |orages |testaments |prêtres |opinion publique |obligations de messes |bail |";"Mémoire pour Antoine Planche et Annet Bost, marguilliers de la paroisse de Banssat, et maître Joseph Raymond, Gabriel Du Saunier, écuyer, seigneur de Mailhat, Lamonge, le Vernet, et de son fief de Banssat, marguillier d'honneur de la même paroisse, demandeurs et intervenants. Contre Antoine Girond, Jacques Bost, Louis Boyer, Barthélemy Rapari, ci-devant marguilliers de ladite paroisse, et maître Jean Barnier, curé d'Icelle, défendeurs.";"Chez Martin Dégoutte (Riom)";;"1778|1582-1778|Avant 1661 |1661-1715 : Règne de Louis XIV |1716-1774 : Règne de Louis XV |1774-1789  : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|53 p.";"BCU_Factums_B0103";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Baron-Grenier";"fre";"BCU_Factums_B0105|BCU_Factums_B0104|||||";"Bansat (63029) |Lamontgie (63185)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_B0103.pdf"
"[Factum. Barnier, Jean. 1779]";"Barnier |Faydat |Favard |Dalbine";"confréries |fabriques |marguilliers |abus d'autorité |terriers |vin |fêtes |ordre public |rénovations d'églises |opposition bas clergé noblesse |prêtres |fraudes |bail à ferme |détournements d'aumône|sonnerie de cloches |orages |quittances |obligations de messes |charité |bienfaisance |orages |testaments |prêtres |opinion publique |obligations de messes |donations |bail |";"Mémoire en réponse, pour monsieur Jean Barnier, curé de la paroisse de Banssat, défendeur et demandeur. Contre Antoine Planche et Annet Bost, marguilliers de ladite paroisse, demandeurs. Et encore contre monsieur Joseph-Raymond-Gabriel Du Saunier, marguillier d'honneur de la même paroisse, intervenant, demandeur et défendeur. |Annotations manuscrites en marges.";"de l'imprimerie de Martin Dégoutte (Riom)";;"1779|1367-1779|Avant 1661 |1661-1715 : Règne de Louis XIV |1716-1774 : Règne de Louis XV |1774-1789  : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|32 p.";"BCU_Factums_B0104";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Baron-Grenier";"fre";"BCU_Factums_B0103|BCU_Factums_B0105|||||";"Bansat (63029)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_B0104.pdf"
"[Factum. Planche, Antoine. 1779]";"Du Saunier |Faydit |Grenier |Pagès, jeune";"confréries |fabriques |marguilliers |abus d'autorité |terriers |vin |fêtes |ordre public |rénovations d'églises |opposition bas clergé noblesse |prêtres |fraudes |bail à ferme |détournements d'aumône|sonnerie de cloches |orages |quittances |obligations de messes |charité |bienfaisance |orages |testaments |prêtres |opinion publique |obligations de messes |donations |bail |";"Second mémoire pour Antoine Planche et Annet Bost, marguilliers de la paroisse de Banssat, et monsieur Joseph-Raymond-Gabriel Dusaunier, écuyer, seigneur de Mailhat, Lamontge, Levernet, et de son fief de Banssat, marguillier d'honneur, demandeurs, intervenans et défendeurs. Contre monsieur Jean Barnier, curé de la même paroisse, défendeur et demandeur. Et encore contre Antoine Giron, Jacques Bost, Louis Boyer, et Barthélemy Raparie, anciens marguilliers, défendeurs. |Note manuscrite : « Jugé en 1779 ou 1780 en faveur du sieur du Saunier, au rapport de m. Faydit et le mémoire du sieur Barnier a été supprimé comme contenant des faits calomnieux. »";"de l'imprimerie de Martin Dégoutte (Riom)";;"1779|1367-1779|Avant 1661 |1661-1715 : Règne de Louis XIV |1716-1774 : Règne de Louis XV |1774-1789  : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|48 p.";"BCU_Factums_B0105";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Baron-Grenier";"fre";"BCU_Factums_B0103|BCU_Factums_B0104|||||";"Bansat (63029) |Lamontgie (63185)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_B0105.pdf"
"[Factum. Soubiran.1780]";"Soubiran |Favard";"bénéfices ecclésiastiques |semi-prébendes |abbayes |sécularisation |prêtres |messes |préséances |chanoines |Chapitres |clauses de dévolut |bulle papale |enfants de chœur |";"Précis de la Bulle de sécularisation du Chapitre de Saint-Amable de Riom. Avec des brièves notes sur les textes relatifs aux semi-prébendes.";"de l'imprimerie de Martin Dégoutte (Riom)";;"1780|1778-1780|1774-1789  : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|48 p.";"BCU_Factums_B0106";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Baron-Grenier";"fre";"||||||";"Riom (63300) |Aubiat (63013) |Saint-Hippolyte (ancienne commune de) |Vitrac (63464) |Saint Cassi (domaine de) |Clermont-Ferrand (63113) |Châtel-Guyon (63103)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_B0106.pdf"
"[Factum. Blanquet, Jean-Baptiste. 1780]";"Cathol |Grenier |Vernières";"bénéfices ecclésiastiques |semi-prébendes |abbayes |sécularisation |prêtres |messes |préséances |chanoines |Chapitres |clauses de dévolut |bulle papale |enfants de chœur |musiciens |";"Précis pour maître Jean-Baptiste Blanquet, semi-prébendé de l’Église Saint-Amable, défendeur. Contre maître Gilbert Soubiran, prêtre et diacre d'Office de la même Eglise, demandeur. |note manuscrite « jugé à l'audience en mars 1780... »";"de l'imprimerie de Martin Dégoutte (Riom)";;"1780|1778-1780|1774-1789  : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|16 p.";"BCU_Factums_B0107";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Baron-Grenier";"fre";"||||||";"Riom (63300)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_B0107.pdf"
"[Factum. Bagès, Jean-Nazaire. 1781]";"Grenier |Hom";"forclusion |successions |coutume d'Auvergne |testaments |secondes noces |legs |droit d'accroissement |doctrine |jurisprudence |";"Mémoire pour maître Jean-Nazaire Bagès, avocat en Parlement, et messire Antoine de Pons, chevalier, seigneur, marquis de Bellestat, son curateur, à l'effet de l'autoriser, défendeurs et demandeurs. Contre maître Charles Juge, procureur en la Cour ; demoiselle Marie Bagès, son épouse, de lui autorisée, demandeurs et défendeurs ; Et encore contre sieur François Malbet, bourgeois, et demoiselle Elisabeth Bagès, son épouse, aussi de lui autorisée, intervenans et demandeurs.";"Chez Martin Dégoutte (Riom)";;"1781|1765-1781|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|19 p.";"BCU_Factums_B0108";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Baron-Grenier";"fre";"BCU_Factums_B0109 |BCU_Factums_B0110 |BCU_Factums_B0111||||||";"Lavoûte-Chilac (43118) |Brioude (43040)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_B0108.pdf"
"[Factum. Juge, Charles. 1782]";"Bergier |Juge";"forclusion |successions |coutume d'Auvergne |testaments |secondes noces |legs |droit d'accroissement |doctrine |jurisprudence |";"Mémoire en réponse, pour maître Charles Juge, procureur en la Cour, père et légitime administrateur de ses enfans, héritiers de défunte Marie Bagès leur mère, ayant repris en son lieu et place ; sieur François Malbet et demoiselle Elisabeth Bagès sa femme, de lui autorisée, habitans du lieu du Montel, paroisse d'Autoing, demandeurs et défendeurs. Contre maître Jean-Nazaire Bagès, avocat en Parlement, habitant du dit lieu du Montel, même paroisse d'Autoing ; et messire Antoine De Pons, seigneur, marquis de Belestat, son curateur, habitant en son château de Belestat, défendeurs et demandeurs. |Annotations manuscrites.";"Chez Martin Dégoutte (Riom)";;"1782|1765-1782|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|24 p.";"BCU_Factums_B0109";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Baron-Grenier";"fre";"BCU_Factums_B0108 |BCU_Factums_B0110 |BCU_Factums_B0111||||||";"Vodable (63466)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_B0109.pdf"
"[Factum. Bagès, Jean-Nazaire. 1782]";"Grenier |Hom";"forclusion |successions |coutume d'Auvergne |testaments |secondes noces |legs |droit d'accroissement |doctrine |jurisprudence |";"Second mémoire pour maître Jean-Nazaire Bagès, avocat en Parlement, et messire Antoine De Pons, chevalier, seigneur de Belestat, son curateur, à l'effet de l'autoriser, défendeurs et demandeurs. Contre maître Charles Juge, procureur en la Cour, père et légitime administrateur de ses enfans, héritiers de défunte Marie Bagès, leur mère, ayant repris en son lieu et place ; sieur François Malbet, et demoiselle Elisabeth Bagès, sa femme, de lui autorisée, demandeurs et défendeurs. Note manuscrite : « par sentence du 19 août 1782 au rapport de M. de Sampigny, lieutenant général jugé en faveur du sieur bagès unanimement. Les juges étaient au nombre de seize. »";"Chez Martin Dégoutte (Riom)";;"1782|1765-1782|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|29 p.";"BCU_Factums_B0110";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Baron-Grenier";"fre";"BCU_Factums_B0108 |BCU_Factums_B0109 |BCU_Factums_B0111||||||";"Vodable (63466)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_B0110.pdf"
