"Titre";"Créateur";"Sujet";"Description";"Editeur";"Contributeur";"Date";"Type";"Format";"Identifiant";"Source";"Langue";"Relation";"Couverture";"Droit";"url"
"[Factum. Autier, Nicolas. An 9]";"Pagès |Costes";"ventes |rentes foncières |";"Mémoire pour Nicolas Autier, propriétaire, habitant du lieu de Barmonteix, commune de Vernughol, intimé; contre Laurent, Anne-Gilberte, autre Laurent et Marie Peyronnet, popriétaires, habitans du Lieu de Voingt; Louis Peyronnet et Marie Peyronnet, sa femme, habitans de la commune d'Herment, appelans de deux sentences rendues en la ci-devant sénéchaussée d'Auvergne, les 12 mai 1784 et 19 juillet 1787 |Annotations manuscrites.";"De l'imprimerie de Landriot (Riom)";;"An 9|1779-An 9|1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|15 p.";"BCU_Factums_M0101";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_G1027 ||||||";"Verneugheol (63450) |Voingt (63467) |Herment (63175)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0101.pdf"
"[Factum. Bonnamour, François. An 8?]";"Grenier |Pagès |Andraud |Touttée |Verny |Rolland |Dartis-Marcillac |Sauret |Durin |Mizon |Pinot |Borye |Bergier";"créances |assignats |";"Précis pour François Bonnamour, propriétaire, demeurant à St.-Gilbert, commune de St.-Didier; contre François Morand, propriétaire, demeurant en la commune de Jenzat.";"De l'imprimerie de Landriot (Riom)";;"Circa An 8|1794-An 8|1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|12 p.";"BCU_Factums_M0102";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"||||||";"Saint-Didier-la-Forêt (03227) |Jenzat (03133)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0102.pdf"
"[Factum. Belanger, Simon. An 8?]";"Simon Belanger |Langloys |Coste |Maussallé";"successions |legs |domestiques |";"Mémoire pour le citoyen Simon Belanger, ci-devant cuisinier, et premier domestique de défunt Louis Gaillonet d'Orvilliers, amiral de France, Demandeur; contre le citoyen Hugon de Givry, seul et unique héritier dudit défunt son oncle, Défendeur.";"De l'imprimerie de Lenormant (Paris)";;"Circa An 8|1779-An 8|1751-1789 |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|12 p.";"BCU_Factums_M0103";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0104||||||";"Rochefort-Montagne (63305) |Paris (75056) |Moulins (03190)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0103.pdf"
"[Factum. Hugon de Givry, Claude. An 9]";"Pagès |Brun";"successions |legs |domestiques |";"Mémoire pour Claude Hugon de Givry, héritier pour une sixième portion de défunt Louis Guillouet d'Orvilliers, ancien lieutenant-général des armées navales, intimé et appelant; contre Simon Bélanger, ancien cuisinier de feu Louis Guillouet d'Orvilliers, habitant de la ville de Paris, appelant d'un jugement rendu au ci-devant tribunal civil de l'Allier, le 6 germinal an 8, et intimé. Question. Peut-on exiger le payement d'un legs conditionnel, lorsque la condition imposée au légataire n'a pas été remplie par le fait du légataire ?";"De l'imprimerie de Landriot (Riom)";;"An 9|1779-An 9|1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat";"text|factum";"application/pdf|30 p.";"BCU_Factums_M0104";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0103||||||";"Rochefort-Montagne (63305) |Paris (75056) |Moulins (03190)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0104.pdf"
"[Factum. Choussy-Dupin, Jean-Joseph. An 9?]";"Dartis-Marcillat |Boirot |Pagès-Meimat |Gaschon |Pagès |Andraud |Delapchier |Rousseau |Lobeyrac |Gallet |Mouredon";"hypothèques |divorces |tribunal de familles |créances |jugement arbitral |biens dotaux |assignats |dot |";"Consultation pour le citoyen Jean-Joseph Chousy-Dupin, homme de loi, habitant de la ville du Puy, Intimé, et défendeur en opposition; contre Dame Catherine-Marie-Françoise Faucher, et Barthélemy Vacher, son mari, de lui autorisée, propriétaires, habitans de la ville d'Arlant, Appelans, et demandeurs en opposition. |Annotations manuscrites.";"De l'imprimerie du Palais, chez J.-C Salles (Riom)";;"Circa An 9|1765-An 9|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|12 p.";"BCU_Factums_M0105";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_G1126 ||||||";"Ambert (63003) |Brioude (43040) |Arlanc (63010) |Le Puy-en-Velay (43157)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0105.pdf"
"[Factum. Chassaing, Antoine-Bernard. An 9]";"Boirot";"partage |successions |conflit de lois |rétroactivité de la loi |";"Précis pour Antoine-Bernard Chassaing, propriétaire, habitant de la commune de Riom, appelant; contre Elisabeth Chassaing, et Jean-Gilbert Chassaing, son mari; Perrette Chassaing, fille majeure; Jean Chassaing et Catherine Chassaing, veuve Bergougnoux, tous habitans de la même commune, intimés.";"De l'imprimerie de Landriot (Riom)";;"An 9|1781-An 9|1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|8 p.";"BCU_Factums_M0106";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0107||||||";"Riom (63300)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0106.pdf"
"Extrait des Registres du greffe du tribunal d'appel de Riom";"Garron |Poughon";"partage |successions |conflit de lois |rétroactivité de la loi |";"Extrait des Registres du greffe du tribunal d'appel, séant à Riom, département du Puy-de-Dôme.";"De l'imprimerie de Landriot (Riom)";;"An 9|1781-An 9|1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|Extrait greffes";"application/pdf|7 p.";"BCU_Factums_M0107";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0106||||||";"Riom (63300)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0107.pdf"
"[Factum. Chautard, Guillaume. An 4?]";"Gaschon |Touttée |Andraud |Touttée jeune |Grenier |Borye |Pagès";"successions |minorité |coutume d'Auvergne |";"Précis et consultation pour Guillaume et François Chautard, appelans; contre Jeanne Tiphalier, veuve de Jean Chautard, Antoine, François, Jeanne, Anne-Marie, autre François et Pierre Chautard, leurs enfans, intimés. Question. Un enfant légitimaire qui, après le décès de son père, a approuvé le partage que ce père avait fait dans sa famille ; qui a reçu de ses frères héritiers institués, sa légitime conventionnelle, qui étant devenu majeur a, par une transaction sur procès, traité de tous ses droits, peut-il être admis ensuite à demander le partage des successions qu'il a cédées, et dont il a reçu le prix ? |Annotations manuscrites.";"De l'imprimerie de Landriot (Riom)";;"Circa An 4|1747-Circa An 4|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |";"text|factum";"application/pdf|15 p.";"BCU_Factums_M0108";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"||||||";"Auzelles (63023)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0108.pdf"
"[Factum. Cartier, Jean. An 4?]";"Pagès |Touttée |Andraud |Granchier |Touttée jeune |Grenier |Deval";"successions |posthume |droit écrit |tribunal de familles |conflit de lois |";"Mémoire et consultation pour Jean Cartier, propriétaire, habitant de la commune de Saint-Germain-l'Herm, appelant ; contre Louise Cartier et Marc Barrière, son mari, officier de santé, habitans de la même commune, intimés ; et encore contre Magdeleine Christophle, veuve de François Cartier ; François et Marie Cartier, tous citoyens de la même commune, intimés.";"De l'imprimerie de Landriot (Riom)";;"Circa An 4|1769-Circa An 4|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |";"text|factum";"application/pdf|21 p.";"BCU_Factums_M0109";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"||||||";"Saint-Germain-l'Herm (63353)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0109.pdf"
"[Factum. Heyrauld, Joseph. An 8?]";"Hutin |Gattrez |Andraud";"successions |créances |conflit de lois |exhérédation |fils déshérité |";"Consultations et observations, employées pour causes et moyens d'appel ; pour les Directeurs des Créanciers unis de Joseph Heyrauld, appelans d'un jugement du tribunal civil du Département du Puy-de-Dôme, du 16 prairial an 8 ; contre Jean-Baptiste et Joseph Heyrauld, intimés.";"De l'imprimerie de Landriot (Riom)";;"Circa An 8|1772-Circa An 8|
1751-1789 |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|22 p.";"BCU_Factums_M0110";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_G1415||||||";"Romagnat (63307) |Cournon-d’Auvergne (63124)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0110.pdf"
