"Titre";"Créateur";"Sujet";"Description";"Editeur";"Contributeur";"Date";"Type";"Format";"Identifiant";"Source";"Langue";"Relation";"Couverture";"Droit";"url"
"[Factum. Charmat, Pierre-Antoine. 1774]";"Charmat |Gaillard";"cens |réaction féodale |terriers |experts |coutume d'Auvergne |prescription |faux |";"Titre complet : Mémoire pour Monsieur Pierre-Antoine Charmat, avocat au Parlement, défendeur et demandeur. Contre Monsieur Michel Chabrol, avocat du Roi au Bureau des finances, demandeur et défenseur.||Table Godemel : Cens, censive : 1. le cens demandé est-il éteint par la prescription ?|";"De l'imprimerie de M. Dégoutte (Riom)";;"1774|1766-1774|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|43 p.";"BCU_Factums_G0101";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Godemel";"fre";"BCU_Factums_G0102||||||";"Volvic (63470)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_G0101.pdf"
"[Factum. Chabrol. 1774]";"Prohet |Pagès";"cens |réaction féodale |terriers |experts |coutume d'Auvergne |prescription |faux |";"Titre complet : Mémoire signifié pour Monsieur Chabrol, demandeur. Contre le sieur Charmat, défendeur.||Table Godemel : Cens, censive : 1. le cens demandé est-il éteint par la prescription ?|";"De l'imprimerie de Pierre Viallanes (Clermont-Ferrand)";;"1774|1766-1774|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|55 p.";"BCU_Factums_G0102";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Godemel";"fre";"BCU_Factums_G0101||||||";"Volvic (63470)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_G0102.pdf"
"[Factum. Faidides, Benoît. 1774]";"Mallet |Tardif |Barry";"dîmes novales |défrichements |dîmes à la onzième gerbe |collecte de l'impôt |preuves par ouï-dire |métayage |fiscalité |";"Titre complet : A nosseigneurs, nosseigneurs du Conseil supérieur de Clermont. Supplie humblement Benoît Faidides, Curé de la Paroisse de Thiollière, Intimé. Contre demoiselle Suzanne Gourbeyre, veuve de Pierre Fouilhoux, et Claude Fouilhoux, Mineur, émancipé, autorisé par sieur François Laval, son curateur, appellants. Et encore contre Damien Bosrie, Antoine Moilier, Jean Mathias, François Gammonnet l'aîné, Pierre Colay, Pierre Gouverneyre, Louis Convers aîné, Antoine Chevalier, Claude Bosrie, Guillaume Sauvageot, Louis Convers le jeune, Antoine Malhaire, Claude convers, Sylvestre Malhaire, Jacques Bonnefoy, Jean Malhaire, Michel-Marie Bonnefoy, Antoine Degeorge, Pierre Gouvernaire, François Favier, Etienne Solviche, Antoine Serendas, michel Duffol et Annet Descote, tous habitants de la paroisse de Thiollière ; Monsieur Antoine Celeyron de la Greleyre négociant, Amable Micolon notaire royal, Claude Chantemerle changeur pour le Roi, et Jean-Joseph boucheron négociant, habitants de la ville d'Ambert, et possesseurs de fonds et héritages situés dans ladite Paroisse de Thiollières, intervenants et demandeurs.||Table Godemel : Novales (dîmes) : un abonnement, quelque général qu’il soit, ne frappe point sur les dîmes novales, sur les défrichements à venir, s’ils n’y sont expressément et nommément compris ; les novales sont-elles affectées d’une manière particulière aux curés, de façon qu’elles leur appartiennent, quoique les grosses dîmes soient possédées par d’autres ? Dîmes : 1. en droit, présume-t-on un abonnement sur les dîmes, sans titre et sans formalités ? Un abonnement, quelque général qu’il soit, ne frappe point sur les dîmes novales, sur les défrichements à venir, s’ils n’y sont expressément et nommément compris ? les novales sont-elles affectées d’une manière particulière aux curés de façon qu’elles leur appartiennent, quoique les propres dîmes soient possédées par d’autres ?|";"De l'imprimerie de Pierre Viallanes (Clermont-Ferrand)";;"1774|1686-1774|1661-1715 : Règne de Louis XIV |1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|69 p.";"BCU_Factums_G0103";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Godemel";"fre";"BCU_Factums_G0104 |BCU_Factums_G0105||||||";"Thiolières (63431) |Ambert (63003)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_G0103.pdf"
"[Factum. Faidides, Benoît. 1774]";"Mallet |Barry";"dîmes novales |défrichements |dîmes à la onzième gerbe |collecte de l'impôt |dîmes |preuves par ouï-dire |métayage |abbayes |fiscalité |";"Titre complet : Mémoire pour Monsieur Benoit Faidides, Curé de la paroisse de Thiollères, Intimé. Contre Demoiselle Suzanne Gourbeyre, veuve de Pierre Fouilhoux, et sieur Claude Fouilhoux, mineur émancipé, autorisé par sieur François Laval, son curateur, habitants de la ville d'Ambert, appellans.||Table Godemel : Novales (dîmes) : un abonnement, quelque général qu’il soit, ne frappe point sur les dîmes novales, sur les défrichements à venir, s’ils n’y sont expressément et nommément compris ; les novales sont-elles affectées d’une manière particulière aux curés, de façon qu’elles leur appartiennent, quoique les grosses dîmes soient possédées par d’autres ? Dîmes : 1. en droit, présume-t-on un abonnement sur les dîmes, sans titre et sans formalités ? Un abonnement, quelque général qu’il soit, ne frappe point sur les dîmes novales, sur les défrichements à venir, s’ils n’y sont expressément et nommément compris ? les novales sont-elles affectées d’une manière particulière aux curés de façon qu’elles leur appartiennent, quoique les propres dîmes soient possédées par d’autres ?|";"De l'imprimerie de Pierre Viallanes (Clermont-Ferrand)";;"1774|1686-1774|1661-1715 : Règne de Louis XIV |1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|31 p.";"BCU_Factums_G0104";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Godemel";"fre";"BCU_Factums_G0103 |BCU_Factums_G0105||||||";"Thiolières (63431) |Sauxillanges (63415)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_G0104.pdf"
"[Factum. Fouilhoux, veuve et enfants. 1774]";"Mallet |Récolène |Dartis";"dîmes novales |défrichements |dîmes à la onzième gerbe |collecte de l'impôt|preuves par ouï-dire |métayage |abbayes |portion congrue |dîmes |fiscalité |";"Titre complet : Mémoire pour la veuve et les enfants Fouilhoux, appellans. Et encore pour Damien Borie, Jean Mathias et conforts, habitants de la paroisse de Thiollères ; les sieurs Celeron, Micolon aussi et consorts, habitants d'Ambert et possédants des héritages ou domaines sur ladite Paroisse de Thiollères ; tous intervenants et demandeurs. Contre Monsieur Benoît Faidides, Curé de la Paroisse de Thiollères, intimé sur l'appel des Fouilhoux et défendeur aux demandes des intervenants.||Table Godemel : Novales (dîmes) : un abonnement, quelque général qu’il soit, ne frappe point sur les dîmes novales, sur les défrichements à venir, s’ils n’y sont expressément et nommément compris ; les novales sont-elles affectées d’une manière particulière aux curés, de façon qu’elles leur appartiennent, quoique les grosses dîmes soient possédées par d’autres ? Dîmes : 1. en droit, présume-t-on un abonnement sur les dîmes, sans titre et sans formalités ? Un abonnement, quelque général qu’il soit, ne frappe point sur les dîmes novales, sur les défrichements à venir, s’ils n’y sont expressément et nommément compris ? les novales sont-elles affectées d’une manière particulière aux curés de façon qu’elles leur appartiennent, quoique les propres dîmes soient possédées par d’autres ?|";"De l'imprimerie de Pierre Viallanes (Clermont-Ferrand)";;"1774|1686-1774|1661-1715 : Règne de Louis XIV |1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|38 p.";"BCU_Factums_G0105";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Godemel";"fre";"BCU_Factums_G0103 |BCU_Factums_G0104||||||";"Thiolières (63431) |Sauxillanges (63415)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_G0105.pdf"
"[Factum. Laurès. 1774]";"Savy |Jourdan";"parsonniers |communautés familiales |réintégrande |coutume du Nivernais |experts |arpenteurs |";"Titre complet : Précis pour Monsieur Laurès, conseiller, honoraire au Parlement, et de la Dame De Maulnory, son épouse, Seigneurs à cause d'elle de Sury, la forêt des Chaumes et la Motte-Latigny, intimés et appellants. Contre Marie Guyot, veuve de Jean Ponceau ; Jean, Jacques et autre Jean Ponceau, ses fils, tous majeurs, laboureurs et ses communs personniers, appellants et intimés.||Table Godemel : Retrait : 1. le droit de retenu seigneurial, ou la demande en retrait censuel, ne pouvaient être exercés, en coutume de nivernais, qu’à charge d’offre du prix ou des loyaux coûts.
le demandeur avait droit à la restitution des fruits perçus pendant l’instance sur les héritages retraits, à partir de la consignation réelle, effectuée dans les 40 jours de l’exhibition du contrat ; mais il fallait que les offres fussent certaines, absolues et sans condition, de même que la consignation et que toutes fussent régulières. Appel : le retrait de la consignation, après la sentence qui l’a déclarée nulle comme irrégulière et précipitée, rend l’appel non recevable. Acquiescement : le retrait de la consignation, après la sentence qui l’a déclarée nulle comme irrégulière et précipitée, rend l’appel non recevable.|";"De l'imprimerie de Pierre Viallanes (Clermont-Ferrand)";;"1774|1765-1774|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|30 p.";"BCU_Factums_G0106";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Godemel";"fre";"BCU_Factums_G0107 |BCU_Factums_G0108
|BCU_Factums_G0109 |BCU_Factums_G0110
||||||";"Saint-Pierre-le-Moûtier (58264)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_G0106.pdf"
"[Factum. Guyot, Marie. 1774]";"Savy |Bergier |Chauvassaignes";"parsonniers |communautés familiales |réintégrande |coutume du Nivernais |experts |arpenteurs |";"Titre complet : Mémoire en réponse pour Marie Guyot, veuve de Jean Ponceau, Jean, Jacques et autre Jean Ponceau, ses fils, intimés et défendeurs. Contre Monsieur Laurès, conseiller honoraire du Parlement, Seigneur, à cause de la Dame De Maunlori, son épouse, de Sury, la Forêt des Chaumes et la Motte, appellans et demandeur.||Table Godemel : Retrait : 1. le droit de retenu seigneurial, ou la demande en retrait censuel, ne pouvaient être exercés, en coutume de nivernais, qu’à charge d’offre du prix ou des loyaux coûts.
le demandeur avait droit à la restitution des fruits perçus pendant l’instance sur les héritages retraits, à partir de la consignation réelle, effectuée dans les 40 jours de l’exhibition du contrat ; mais il fallait que les offres fussent certaines, absolues et sans condition, de même que la consignation et que toutes fussent régulières. Appel : le retrait de la consignation, après la sentence qui l’a déclarée nulle comme irrégulière et précipitée, rend l’appel non recevable. Acquiescement : le retrait de la consignation, après la sentence qui l’a déclarée nulle comme irrégulière et précipitée, rend l’appel non recevable.|";"De l'imprimerie de Pierre Viallanes (Clermont-Ferrand)";;"1774|1765-1774|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|45 p.";"BCU_Factums_G0107";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Godemel";"fre";"BCU_Factums_G0106 |BCU_Factums_G0108
|BCU_Factums_G0109 |BCU_Factums_G0110
||||||";"Saint-Pierre-le-Moûtier (58264)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_G0107.pdf"
"[Factum. Laurès. 1774]";"Savy |Jourdan";"parsonniers |communautés familiales |réintégrande |coutume du Nivernais |experts |arpenteurs |";"Titre complet : Supplément au précis pour Monsieur Laurès, conseiller Honoraire, Intimé et Appellant. Contre Marie Guyot, veuve de Jean Ponceau, Jean, Jacques et autre Jean Ponceau, ses fils, et communs personniers, Appellants et Intimés.||Table Godemel : Retrait : 1. le droit de retenu seigneurial, ou la demande en retrait censuel, ne pouvaient être exercés, en coutume de nivernais, qu’à charge d’offre du prix ou des loyaux coûts.
le demandeur avait droit à la restitution des fruits perçus pendant l’instance sur les héritages retraits, à partir de la consignation réelle, effectuée dans les 40 jours de l’exhibition du contrat ; mais il fallait que les offres fussent certaines, absolues et sans condition, de même que la consignation et que toutes fussent régulières. Appel : le retrait de la consignation, après la sentence qui l’a déclarée nulle comme irrégulière et précipitée, rend l’appel non recevable. Acquiescement : le retrait de la consignation, après la sentence qui l’a déclarée nulle comme irrégulière et précipitée, rend l’appel non recevable.|";"De l'imprimerie de Pierre Viallanes (Clermont-Ferrand)";;"1774|1765-1774|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|21 p.";"BCU_Factums_G0108";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Godemel";"fre";"BCU_Factums_G0106 |BCU_Factums_G0107
|BCU_Factums_G0110 |BCU_Factums_G0109
||||||";"Saint-Pierre-le-Moûtier (58264)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_G0108.pdf"
"[Factum. Laurès. 1774]";"Savy |Jourdan";"parsonniers |communautés familiales |réintégrande |coutume du Nivernais |experts |arpenteurs |";"Titre complet : Adition au mémoire pour Monsieur Laurès, Conseiller Honoraire, Intimés et Appellant. Contre Marie Guyot, veuve de Jean Ponceau, Jean, Jacques et autre Jean Ponceau, ses fils, et communs personniers, Appellants et Intimés.||Table Godemel : Retrait : 1. le droit de retenu seigneurial, ou la demande en retrait censuel, ne pouvaient être exercés, en coutume de nivernais, qu’à charge d’offre du prix ou des loyaux coûts.
le demandeur avait droit à la restitution des fruits perçus pendant l’instance sur les héritages retraits, à partir de la consignation réelle, effectuée dans les 40 jours de l’exhibition du contrat ; mais il fallait que les offres fussent certaines, absolues et sans condition, de même que la consignation et que toutes fussent régulières. Appel : le retrait de la consignation, après la sentence qui l’a déclarée nulle comme irrégulière et précipitée, rend l’appel non recevable. Acquiescement : le retrait de la consignation, après la sentence qui l’a déclarée nulle comme irrégulière et précipitée, rend l’appel non recevable.|";"De l'imprimerie de Pierre Viallanes (Clermont-Ferrand)";;"1774|1765-1774|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|63 p.";"BCU_Factums_G0109";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Godemel";"fre";"BCU_Factums_G0106 |BCU_Factums_G0107
|BCU_Factums_G0108 |BCU_Factums_G0110
||||||";"Saint-Pierre-le-Moûtier (58264)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_G0109.pdf"
"[Factum. Ponceau, veuve et fils. 1774]";"Savy |Bergier |Chauvassaignes";"parsonniers |communautés familiales |réintégrande |coutume du Nivernais |experts |arpenteurs |";"Titre complet : Supplément servant de réponse pour la veuve Ponceau et ses fils, Intimés et Défendeurs. Contre Monsieur Laurès ; ancien Conseiller au Parlement, Appellant et Demandeur.||Table Godemel : Retrait : 1. le droit de retenu seigneurial, ou la demande en retrait censuel, ne pouvaient être exercés, en coutume de nivernais, qu’à charge d’offre du prix ou des loyaux coûts.
le demandeur avait droit à la restitution des fruits perçus pendant l’instance sur les héritages retraits, à partir de la consignation réelle, effectuée dans les 40 jours de l’exhibition du contrat ; mais il fallait que les offres fussent certaines, absolues et sans condition, de même que la consignation et que toutes fussent régulières. Appel : le retrait de la consignation, après la sentence qui l’a déclarée nulle comme irrégulière et précipitée, rend l’appel non recevable. Acquiescement : le retrait de la consignation, après la sentence qui l’a déclarée nulle comme irrégulière et précipitée, rend l’appel non recevable.|";"De l'imprimerie de Pierre Viallanes (Clermont-Ferrand)";;"1774|1765-1774|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |";"text|factum";"application/pdf|35 p.";"BCU_Factums_G0110";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Godemel";"fre";"BCU_Factums_G0106 |BCU_Factums_G0107
|BCU_Factums_G0108 |BCU_Factums_G0109
||||||";"Saint-Pierre-le-Moûtier (58264)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_G0110.pdf"
